_risk,_lev,trades,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,liquidations
0.075,8.0,185,1150.5676548810138,1.2035358180703581,-0.8314246721584562,1.2898142231443528,1.4475584600416855,1.0870461866222805,0
0.1,8.0,185,787.2260783960002,1.1118683084128658,-0.89326160412067,1.2158034309560712,1.244728647558285,1.0459087731017795,0
0.05,8.0,185,736.4868480583349,1.0961772790027862,-0.6969862662702001,1.3717656025165452,1.5727387067019079,1.2010254703290753,0
0.05,5.0,185,407.1725851243899,0.9616999480778046,-0.6847971474542791,1.3110642801126116,1.4043574095670617,1.1912606561124497,0
0.075,5.0,185,369.4283157913461,0.9404811106049247,-0.7730743514218431,1.2079507174325397,1.2165467770017024,1.1098346087650726,0
0.1,5.0,185,306.06872287404644,0.9001073253195453,-0.8095940624797533,1.1496040518956574,1.1118007987392515,1.077879436649337,0
0.15,5.0,185,268.7658082928672,0.8727231625075991,-0.8557947052436299,1.1167686214519896,1.0197809792000874,1.0590113369113527,0
0.15,8.0,185,258.0329460105108,0.8642207456785385,-0.944332589671964,1.1206173145876164,0.9151656472840207,1.020157969724757,0
0.15,3.0,185,167.6411277259316,0.7766665240466883,-0.7228488508771652,1.117424658964146,1.0744521805688925,1.1463713470490209,0
0.03,8.0,185,153.51256964765378,0.7593278640793657,-0.51434929900834,1.3872249858562622,1.476288323019671,1.4119579907859163,0
0.03,5.0,185,152.17800415222413,0.7576181012645808,-0.5143492990083409,1.3858245530834048,1.472964195198203,1.4116174205415606,0
0.1,3.0,185,147.84982308475918,0.7519805946730713,-0.6941667174303067,1.1355857022919207,1.0832852912579594,1.1615292598318097,0
0.075,3.0,185,127.23835441556199,0.7229555827526863,-0.6518797119633288,1.150167462070377,1.1090321872041262,1.178481597503274,0
0.05,3.0,185,111.82637660333987,0.6984056266231349,-0.5949842491473538,1.2069683588367273,1.1738220425565715,1.2352567397896594,0
0.03,3.0,185,91.35126250256879,0.6607098511185976,-0.4971576521990807,1.3195223844174446,1.3289745178336798,1.3917681145264629,0
0.1,2.0,185,70.10258435620582,0.6127455137275113,-0.5753051678785943,1.12238314489842,1.0650791057326603,1.2619455110340494,0
0.15,2.0,185,67.47617413789223,0.6059563484427648,-0.5972319581356169,1.083035872512707,1.0146080433042848,1.2472106691655203,0
0.075,2.0,185,60.81861634280748,0.5876507141749157,-0.5620718380866015,1.133835727884712,1.0455081972713478,1.2733151169826404,0
0.05,2.0,185,47.46388855505919,0.5449257784109693,-0.5036740539133111,1.1543465750633002,1.0819016270088795,1.306420228318701,0
0.02,5.0,185,45.726749871297066,0.5386179516444145,-0.38432238722404183,1.3766338361733574,1.4014743078977225,1.6360680874920366,0
0.02,8.0,185,45.726749871297066,0.5386179516444145,-0.38432238722404183,1.3766338361733574,1.4014743078977225,1.6360680874920366,0
0.02,3.0,185,42.204833991836615,0.5251628930654686,-0.3843223872240405,1.3617598875609835,1.366464485347103,1.629274958382038,0
0.03,2.0,185,36.641293857168435,0.5017790328738896,-0.4374956205654953,1.225112684945747,1.1469349846869399,1.4192247850152444,0
0.02,2.0,185,29.851706592404238,0.4686681001416724,-0.36827503276993045,1.30986892932516,1.27260351215408,1.6011131938548953,0
0.01,8.0,185,8.457821669551901,0.28638245696229503,-0.21726711540683077,1.3377385468669412,1.318112298890913,2.0935565819878508,0
0.01,3.0,185,8.457821669551901,0.28638245696229503,-0.21726711540683077,1.3377385468669412,1.318112298890913,2.0935565819878508,0
0.01,5.0,185,8.457821669551901,0.28638245696229503,-0.21726711540683077,1.3377385468669412,1.318112298890913,2.0935565819878508,0
0.01,2.0,185,8.457821669551901,0.28638245696229503,-0.21726711540683077,1.3377385468669412,1.318112298890913,2.0935565819878508,0
