tf,entry_window,atr_stop_mult,trail_mult,regime_ema,vol_target,windows,oos_compounded,oos_cagr,oos_median,oos_positive,oos_worst_dd,oos_sharpe,is_cagr,cagr_decay
4h,20,2.0,5.0,100,0.6,5,11.327602093817255,0.7047732433043116,0.7035281124531514,4,-0.3038361427834961,1.2359622901389198,0.708484800920502,0.003711557616190464
4h,30,2.0,5.0,100,0.6,5,11.08102942251766,0.6697395882410684,0.7603836516326052,5,-0.28221856802595663,1.3197941084884244,0.7213779975316449,0.051638409290576504
4h,30,2.0,5.0,0,0.6,5,10.438959413443655,0.6529931908041144,0.6326577523478771,5,-0.3154539355826544,1.2797880589315893,0.6628878500143348,0.009894659210220369
4h,10,2.0,5.0,100,0.6,5,9.645853392855871,0.6888167509121568,0.3003680511451865,4,-0.352745519479392,1.1079723934629397,0.5954996682125678,-0.09331708269958894
4h,20,2.0,5.0,200,0.6,5,6.955559803140144,0.5351630504798092,0.615656516613597,4,-0.2569384763479739,1.0765973271209193,0.7422333137858728,0.2070702633060636
4h,10,2.0,5.0,200,0.6,5,5.757778513594778,0.4804177578117218,0.3147383833674322,4,-0.35861098493107896,0.956948242547967,0.5856134265703132,0.10519566875859143
4h,55,2.0,5.0,0,0.0,5,5.31045852851775,0.43972406712159806,0.4118618938728238,5,-0.1773832825397864,1.4011976013119916,0.38041087812872465,-0.05931318899287341
4h,20,2.5,5.0,0,0.6,5,4.954969605406507,0.46044652031772293,0.20911511754750145,4,-0.31617493175051425,0.9715614082271316,0.47302193503792644,0.012575414720203515
4h,55,2.0,5.0,100,0.0,5,4.9306620649920285,0.42770735916292546,0.4118618938728238,5,-0.1773832825397864,1.3467230915891677,0.38128001457386024,-0.04642734458906522
4h,10,2.5,3.5,0,0.6,5,4.2077133656886625,0.40684297097460503,0.6971891368341872,4,-0.35103315853507383,1.0171924188879191,0.3333476608340375,-0.07349531014056754
4h,55,2.0,5.0,200,0.0,5,3.793531235760624,0.3611847717555024,0.3498924036420188,4,-0.16919109937401905,1.2522640093891355,0.4003970597680665,0.0392122880125641
4h,30,2.0,5.0,200,0.0,5,3.5841985182759037,0.33979937041568575,0.3905030032739685,4,-0.1871714109695153,1.2011712265566066,0.46954241269169883,0.12974304227601308
